2020-03-06 10:28:14,493 | INFO | Running run.py on 2020-03-06 10:28:14.493581
2020-03-06 10:28:14,497 | INFO | Starting new HTTP connection (1): export.arxiv.org
2020-03-06 10:29:04,307 | INFO | Running run.py on 2020-03-06 10:29:04.307129
2020-03-06 10:29:04,310 | INFO | Starting new HTTP connection (1): export.arxiv.org
2020-03-06 10:30:19,199 | INFO | Running run.py on 2020-03-06 10:30:19.199444
2020-03-06 10:30:19,202 | INFO | Starting new HTTP connection (1): export.arxiv.org
2020-03-06 10:30:20,359 | INFO | Starting new HTTPS connection (1): api.twitter.com
2020-03-06 10:30:20,598 | WARNING | Failed to send "Real-time, Universal, and Robust Adversarial Attacks Against Speaker Recognition Systems http://arxiv.org/abs/2003.02301 As the popularity of voice user interface (VUI) exploded in recent years, speaker recognition system has emerged as an-": [{'code': 89, 'message': 'Invalid or expired token.'}]
2020-03-06 10:30:20,781 | WARNING | Failed to send "A Study on Efficiency, Accuracy and Document Structure for Answer Sentence Selection http://arxiv.org/abs/2003.02349 An essential task of most Question Answering (QA) systems is to re-rank the set of answer candidates, i.e., Answer-": [{'code': 89, 'message': 'Invalid or expired token.'}]
2020-03-06 10:30:20,974 | WARNING | Failed to send "Kleister: A novel task for Information Extraction involving Long Documents with Complex Layout http://arxiv.org/abs/2003.02356 State-of-the-art solutions for Natural Language Processing (NLP) are able to capture a broad range of contexts,-": [{'code': 89, 'message': 'Invalid or expired token.'}]
2020-03-06 10:30:21,165 | WARNING | Failed to send "RecipeGPT: Generative Pre-training Based Cooking Recipe Generation and Evaluation System http://arxiv.org/abs/2003.02498 Interests in the automatic generation of cooking recipes have been growing steadily over the past few years thanks to-": [{'code': 89, 'message': 'Invalid or expired token.'}]
2020-03-06 10:30:21,335 | WARNING | Failed to send "An Incremental Explanation of Inference in Hybrid Bayesian Networks for Increasing Model Trustworthiness and Supporting Clinical Decision Making http://arxiv.org/abs/2003.02599 Various AI models are increasingly being considered as part of-": [{'code': 89, 'message': 'Invalid or expired token.'}]
